Tabelle: 13321-0003
Employees: Germany, quarters, domestic concept / national;;;;;;;;
concept, original and adjusted data;;;;;;;;
Employment accounts;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
;;;Domestic concept / national concept;;;;;;;;;;;
;;;Place of work in Germany;;;;;;Place of residence in Germany;;;;;
;;;Employees;;Rate of change on previous quarter;;Rate of change on previous year's quarter;;Employees;;Rate of change on previous quarter;;Rate of change on previous year's quarter;
;;;1000;1000;percent;percent;percent;percent;1000;1000;percent;percent;percent;percent
;2021;Quarter 1;40839;p;0.0;p;x;;40669;p;0.0;p;x;
;;Quarter 2;40967;p;0.3;p;x;;40790;p;0.3;p;x;
;;Quarter 3;41213;p;0.6;p;x;;41026;p;0.6;p;x;
;;Quarter 4;41386;p;0.4;p;x;;41193;p;0.4;p;x;
;2022;Quarter 1;41597;p;0.5;p;x;;41395;p;0.5;p;x;
;;Quarter 2;41738;p;0.3;p;x;;41531;p;0.3;p;x;
;;Quarter 3;41832;p;0.2;p;x;;41618;p;0.2;p;x;
;;Quarter 4;41958;p;0.3;p;x;;41738;p;0.3;p;x;
;2023;Quarter 1;42075;p;0.3;p;x;;41863;p;0.3;p;x;
;;Quarter 2;42157;p;0.2;p;x;;41945;p;0.2;p;x;
;;Quarter 3;42188;p;0.1;p;x;;41981;p;0.1;p;x;
;;Quarter 4;42237;p;0.1;p;x;;42029;p;0.1;p;x;
;2024;Quarter 1;42289;p;0.1;p;x;;42086;p;0.1;p;x;
;;Quarter 2;42322;p;0.1;p;x;;42121;p;0.1;p;x;
;;Quarter 3;42280;p;-0.1;p;x;;42082;p;-0.1;p;x;
;;Quarter 4;...;;...;;...;;...;;...;;...;
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-23 / 20:26:09
