,2014 offence or offence category,2014 recorded cases,2014 clearance rate %,2015 offence or offence category,2015 recorded cases,2015 clearance rate %,2016 offence or offence category,2016 recorded cases,2016 clearance rate %,2017 offence or offence category,2017 recorded cases,2017 clearance rate %,2018 offence or offence category,2018 recorded cases,2018 clearance rate %,2019 offence or offence category,2019 recorded cases,2019 clearance rate %,2020 offence or offence category,2020 recorded cases,2020 clearance rate %,2021 offence or offence category,2021 recorded cases,2021 clearance rate %,2022 offence or offence category,2022 recorded cases,2022 clearance rate %,2023 offence or offence category,2023 recorded cases,2023 clearance rate %
724,2715.0,0.0,570.0,2637.0,0.0,548.0,16184.0,0.3,5240.0,23463.0,0.4,8023.0,560977.0,10.1,165770.0,563062.0,10.4,165671.0,576444.0,10.9,166720.0,10255.0,0.2,3078.0,1279,0.0,349,46.0,0.0007743238259272907,11.0
725,20.0,0.0,4.0,24.0,0.0,4.0,26.0,0.0,7.0,1158.0,0.0,348.0,195294.0,3.5,54400.0,197387.0,3.6,55072.0,210427.0,4.0,57915.0,151532.0,3.0,43025.0,16,0.0,1,19.0,0.0003198294063612722,5.0
726,137.0,0.0,33.0,119.0,0.0,33.0,444.0,0.0,112.0,1632.0,0.0,542.0,38063.0,0.7,9978.0,38412.0,0.7,9986.0,45466.0,0.9,11669.0,10326.0,0.2,2763.0,14,0.0,4,47.0,0.000791156952577884,11.0
727,135.0,0.0,33.0,112.0,0.0,33.0,4.0,0.0,0.0,3.0,0.0,1.0,11300.0,0.2,3257.0,10545.0,0.2,2996.0,11136.0,0.2,3032.0,3027.0,0.1,743.0,38,0.0,11,2598.0,0.043732463038241326,592.0
728,2.0,0.0,0.0,7.0,0.0,0.0,440.0,0.0,112.0,577010.0,10.0,170320.0,145931.0,2.6,41165.0,148430.0,2.7,42090.0,153825.0,2.9,43214.0,620.0,0.0,190.0,1404,0.0,379,3971.0,0.06684434592950589,1214.0
729,17.0,0.0,2.0,17.0,0.0,3.0,1902.0,0.0,491.0,200869.0,3.5,55488.0,10281.0,0.2,3224.0,9863.0,0.2,2793.0,10867.0,0.2,2950.0,6679.0,0.1,1830.0,3865,0.1,1147,3417.0,0.05751879376507722,994.0
730,16.0,0.0,2.0,16.0,0.0,3.0,0.0,0.0,0.0,39181.0,0.7,9675.0,2976.0,0.1,1050.0,2822.0,0.1,724.0,3391.0,0.1,841.0,25.0,0.0,4.0,3329,0.1,891,430.0,0.0072382444597551086,132.0
731,1.0,0.0,0.0,1.0,0.0,0.0,1883.0,0.0,486.0,11102.0,0.2,3315.0,611.0,0.0,179.0,572.0,0.0,165.0,688.0,0.0,219.0,192132.0,3.8,57476.0,417,0.0,131,6.0,0.00010099875990355964,4.0
732,8493.0,0.1,1635.0,7703.0,0.1,1562.0,0.0,0.0,0.0,150586.0,2.6,42498.0,6694.0,0.1,1995.0,6469.0,0.1,1904.0,6788.0,0.1,1890.0,3973.0,0.1,1118.0,14,0.0,5,3275.0,0.05512848978069298,889.0
733,8395.0,0.1,1608.0,7620.0,0.1,1539.0,19.0,0.0,5.0,10577.0,0.2,3213.0,22.0,0.0,4.0,30.0,0.0,11.0,27.0,0.0,6.0,188159.0,3.7,56358.0,3194,0.1,843,89.0,0.0014981482719028014,25.0
