Tabelle: 12241-9000
EU-SILC - Persons covered and persons extrapolated,;;;;;;
equivalised net income, at-risk-of-poverty rate:;;;;;;
Germany, years (until 2019), sex, age groups;;;;;;
Income and living conditions (EU-SILC);;;;;;;;;;
Germany;;;;;;;;;;
;;;Persons covered;;Persons extrapolated;;Equivalised net income (median);;At-risk-of-poverty rate;
;;;number;number;1000;1000;EUR/year;EUR/year;percent;percent
;;25 to under 50 years;3309;e;12855;e;22804;e;13.8;e
;;50 to under 65 years;3339;e;8799;e;23260;e;17.1;e
;;65 years and over;3376;e;7698;e;18669;e;14.9;e
;;Total;12903;e;40278;e;21750;e;15.2;e
;Female;16 to under 18 years;252;e;743;e;20078;e;24.0;()
;;18 to under 25 years;732;e;2898;e;20581;e;23.7;e
;;25 to under 50 years;3848;e;14055;e;23364;e;15.0;e
;;50 to under 65 years;3869;e;9601;e;24291;e;18.3;e
;;65 years and over;3573;e;8535;e;19359;e;20.1;e
;;Total;13900;e;41149;e;20744;e;17.8;e
;Total;16 to under 18 years;508;e;1591;e;19996;e;19.1;()
;;18 to under 25 years;1527;e;6188;e;19907;e;21.0;e
;;25 to under 50 years;7157;e;26909;e;22804;e;14.4;e
;;50 to under 65 years;7208;e;18400;e;23260;e;17.7;e
;;65 years and over;6949;e;16233;e;18669;e;17.7;e
;;Total;26803;e;81427;e;21275;e;16.5;e
2017;Male;16 to under 18 years;270;e;989;e;20373;e;13.6;()
;;18 to under 25 years;747;e;3254;e;21721;e;17.9;e
;;25 to under 50 years;3149;e;12705;e;23981;e;13.7;e
;;50 to under 65 years;3433;e;9077;e;24856;e;16.8;e
;;65 years and over;3467;e;7853;e;19949;e;14.9;e
;;Total;12736;e;40518;e;22472;e;15.0;e
;Female;16 to under 18 years;237;e;713;e;20498;e;18.0;()
;;18 to under 25 years;689;e;2848;e;18772;e;25.3;e
;;25 to under 50 years;3679;e;13802;e;23016;e;14.1;e
;;50 to under 65 years;3983;e;9726;e;23568;e;17.6;e
;;65 years and over;3656;e;8550;e;18723;e;19.0;e
;;Total;13836;e;41216;e;21316;e;17.1;e
;Total;16 to under 18 years;507;e;1702;e;20373;e;15.4;()
;;18 to under 25 years;1436;e;6102;e;20109;e;21.4;e
;;25 to under 50 years;6828;e;26507;e;23459;e;13.9;e
;;50 to under 65 years;7416;e;18803;e;24107;e;17.2;e
;;65 years and over;7123;e;16403;e;19267;e;17.0;e
;;Total;26572;e;81733;e;21920;e;16.1;e
2018;Male;16 to under 18 years;232;e;870;e;20275;e;15.6;()
;;18 to under 25 years;704;e;3199;e;22291;e;16.8;()
;;25 to under 50 years;2989;e;12590;e;24686;e;13.8;e
;;50 to under 65 years;3229;e;9093;e;25693;e;15.6;e
;;65 years and over;3358;e;8182;e;20445;e;16.5;e
;;Total;12076;e;40403;e;23231;e;15.2;e
;Female;16 to under 18 years;241;e;724;e;20711;e;16.0;()
;;18 to under 25 years;685;e;2952;e;19768;e;24.8;e
;;25 to under 50 years;3457;e;13526;e;23937;e;14.1;e
;;50 to under 65 years;3800;e;9884;e;23887;e;17.1;e
;;65 years and over;3466;e;8588;e;19282;e;19.8;e
;;Total;13183;e;41204;e;22081;e;16.8;e
;Total;16 to under 18 years;473;e;1594;e;20378;e;15.8;()
;;18 to under 25 years;1389;e;6151;e;21220;e;20.6;e
;;25 to under 50 years;6446;e;26116;e;24220;e;13.9;e
;;50 to under 65 years;7029;e;18977;e;24683;e;16.4;e
;;65 years and over;6824;e;16771;e;19809;e;18.2;e
;;Total;25259;e;81607;e;22713;e;16.0;e
2019;Male;16 to under 18 years;214;e;859;e;22330;e;14.2;()
;;18 to under 25 years;620;e;2982;e;23223;e;16.4;()
;;25 to under 50 years;2778;e;12611;e;25739;e;12.3;e
;;50 to under 65 years;3117;e;9185;e;26351;e;15.5;e
;;65 years and over;3350;e;8268;e;21034;e;16.0;e
;;Total;11505;e;40478;e;24039;e;13.9;e
;Female;16 to under 18 years;218;e;771;e;21551;e;/;
;;18 to under 25 years;665;e;3087;e;21097;e;21.2;e
;;25 to under 50 years;3197;e;13508;e;24711;e;12.4;e
;;50 to under 65 years;3655;e;9866;e;24649;e;16.7;e
;;65 years and over;3368;e;8371;e;19896;e;20.0;e
;;Total;12523;e;41362;e;22979;e;15.7;e
;Total;16 to under 18 years;432;e;1630;e;21826;e;12.7;()
;;18 to under 25 years;1285;e;6069;e;22099;e;18.8;e
;;25 to under 50 years;5975;e;26119;e;25188;e;12.3;e
;;50 to under 65 years;6772;e;19051;e;25537;e;16.1;e
;;65 years and over;6718;e;16640;e;20425;e;18.0;e
;;Total;24028;e;81840;e;23515;e;14.8;e
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-23 / 20:10:03
