Tabelle: 12711-0002
Total migration across the borders of the Länder: Germany,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
years, nationality, sex, age years;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Germans;;;;;;;;;;;;;;;;;;Foreigners;;;;;;;;;;;;;;;;;;Total;;;;;;;;;;;;;;;;;
;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;
;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;
;;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
;37 years;9511;e;10419;e;-908;e;7147;e;7960;e;-813;e;16658;e;18379;e;-1721;e;9768;e;10862;e;-1094;e;4854;e;5007;e;-153;e;14622;e;15869;e;-1247;e;19279;e;21281;e;-2002;e;12001;e;12967;e;-966;e;31280;e;34248;e;-2968;e
;38 years;9044;e;9988;e;-944;e;6744;e;7304;e;-560;e;15788;e;17292;e;-1504;e;9482;e;10796;e;-1314;e;4778;e;4978;e;-200;e;14260;e;15774;e;-1514;e;18526;e;20784;e;-2258;e;11522;e;12282;e;-760;e;30048;e;33066;e;-3018;e
;39 years;9081;e;9932;e;-851;e;6434;e;7074;e;-640;e;15515;e;17006;e;-1491;e;8901;e;10075;e;-1174;e;4301;e;4495;e;-194;e;13202;e;14570;e;-1368;e;17982;e;20007;e;-2025;e;10735;e;11569;e;-834;e;28717;e;31576;e;-2859;e
;40 years;8773;e;9652;e;-879;e;6488;e;7221;e;-733;e;15261;e;16873;e;-1612;e;8775;e;9962;e;-1187;e;4216;e;4304;e;-88;e;12991;e;14266;e;-1275;e;17548;e;19614;e;-2066;e;10704;e;11525;e;-821;e;28252;e;31139;e;-2887;e
;41 years;8544;e;9333;e;-789;e;6275;e;6868;e;-593;e;14819;e;16201;e;-1382;e;8185;e;9154;e;-969;e;3741;e;3856;e;-115;e;11926;e;13010;e;-1084;e;16729;e;18487;e;-1758;e;10016;e;10724;e;-708;e;26745;e;29211;e;-2466;e
;42 years;8218;e;9117;e;-899;e;6006;e;6615;e;-609;e;14224;e;15732;e;-1508;e;7281;e;8422;e;-1141;e;3279;e;3528;e;-249;e;10560;e;11950;e;-1390;e;15499;e;17539;e;-2040;e;9285;e;10143;e;-858;e;24784;e;27682;e;-2898;e
;43 years;7690;e;8480;e;-790;e;5633;e;6209;e;-576;e;13323;e;14689;e;-1366;e;6894;e;8180;e;-1286;e;3228;e;3469;e;-241;e;10122;e;11649;e;-1527;e;14584;e;16660;e;-2076;e;8861;e;9678;e;-817;e;23445;e;26338;e;-2893;e
;44 years;7300;e;8031;e;-731;e;5518;e;6076;e;-558;e;12818;e;14107;e;-1289;e;6681;e;7861;e;-1180;e;3009;e;3194;e;-185;e;9690;e;11055;e;-1365;e;13981;e;15892;e;-1911;e;8527;e;9270;e;-743;e;22508;e;25162;e;-2654;e
;45 years;6922;e;7489;e;-567;e;5160;e;5705;e;-545;e;12082;e;13194;e;-1112;e;6482;e;7686;e;-1204;e;2996;e;3117;e;-121;e;9478;e;10803;e;-1325;e;13404;e;15175;e;-1771;e;8156;e;8822;e;-666;e;21560;e;23997;e;-2437;e
;46 years;6122;e;6785;e;-663;e;4845;e;5283;e;-438;e;10967;e;12068;e;-1101;e;6078;e;7115;e;-1037;e;2880;e;2959;e;-79;e;8958;e;10074;e;-1116;e;12200;e;13900;e;-1700;e;7725;e;8242;e;-517;e;19925;e;22142;e;-2217;e
;47 years;6029;e;6549;e;-520;e;4715;e;5090;e;-375;e;10744;e;11639;e;-895;e;5868;e;6884;e;-1016;e;2711;e;2764;e;-53;e;8579;e;9648;e;-1069;e;11897;e;13433;e;-1536;e;7426;e;7854;e;-428;e;19323;e;21287;e;-1964;e
