Tabelle: 12521-0002
Foreigners: Germany, reference date, sex/age years/marital;;;;
status, country groups/citizenship;;;;
Statistics of foreigners;;;;;;;
Germany;;;;;;;
Foreigners (number);;;;;;;
;;Sex;;;;;
;;Male;;Female;;Total;
;West Africa;54376;e;25752;e;80128;e
;Central Africa;21056;e;13136;e;34192;e
;East Africa;18387;e;19544;e;37931;e
;Southern Africa;10646;e;8210;e;18856;e
;America;107258;e;121181;e;228439;e
;North America;71676;e;54990;e;126666;e
;Central America and Caribbean;10999;e;17800;e;28799;e
;South America;24583;e;48391;e;72974;e
;Asia;479901;e;428948;e;908849;e
;South West Asia;183713;e;124509;e;308222;e
;South and South East Asia;150334;e;159039;e;309373;e
;East and Central Asia;145854;e;145400;e;291254;e
;Australia and Oceania;6581;e;5548;e;12129;e
;Countries of origin of foreign workers;2322625;e;1926556;e;4249181;e
;Territory of former Yugoslavia;559190;e;495515;e;1054705;e
;Territory of former Serbia and Montenegro;-;;-;;-;
;Territory of the former Soviet Union;209899;e;284149;e;494048;e
;Territory of former Czechoslovakia;27571;e;37188;e;64759;e
;United Kingdom incl. British overseas territories;-;;-;;-;
2004-12-31;Total;3498410;e;3218705;e;6717115;e
;videlicet:;;;;;;
;Europe;2773599;e;2566409;e;5340008;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1277523;e;1172191;e;2449714;e
;EU-28 third countries (until 2020-01-31);2220887;e;2046514;e;4267401;e
;EU-27 (until 2013-06-30);1164090;e;1056452;e;2220542;e
;EU-27 third countries (until 2013-06-30);2334320;e;2162253;e;4496573;e
;EU-25 (until 2006-12-31);1114656;e;993354;e;2108010;e
;EU-25 third countries (until 2006-12-31);2383754;e;2225351;e;4609105;e
;EU-15 (until 2004-04-30);911720;e;747844;e;1659564;e
;EU-15 third countries (until 2004-04-30);2586690;e;2470861;e;5057551;e
;EC-12 (until 1994-12-31);808104;e;648131;e;1456235;e
;EC-12 third countries (until 1994-12-31);2690306;e;2570574;e;5260880;e
;EC-10 (until 1985-12-31);689681;e;541548;e;1231229;e
;EC-10 third countries (until 1985-12-31);2808729;e;2677157;e;5485886;e
;EC-9 (until 1980-12-31);517535;e;397705;e;915240;e
;EC-9 third countries (until 1980-12-31);2980875;e;2821000;e;5801875;e
;EEC-6 (until 1972-12-31);447416;e;345284;e;792700;e
;EEC-6 third countries (until 1972-12-31);3050994;e;2873421;e;5924415;e
;Africa;167978;e;107818;e;275796;e
;North Africa;79156;e;44052;e;123208;e
;West Africa;44688;e;24583;e;69271;e
;Central Africa;19107;e;13040;e;32147;e
;East Africa;15907;e;18706;e;34613;e
;Southern Africa;9120;e;7437;e;16557;e
;America;93229;e;109658;e;202887;e
;North America;61966;e;47161;e;109127;e
;Central America and Caribbean;10197;e;17104;e;27301;e
;South America;21066;e;45393;e;66459;e
;Asia;419346;e;403933;e;823279;e
;South West Asia;160156;e;114107;e;274263;e
;South and South East Asia;129438;e;152812;e;282250;e
;East and Central Asia;129752;e;137014;e;266766;e
;Australia and Oceania;5036;e;4756;e;9792;e
;Countries of origin of foreign workers;2126534;e;1797041;e;3923575;e
;Territory of former Yugoslavia;509815;e;464797;e;974612;e
;Territory of former Serbia and Montenegro;67109;e;58656;e;125765;e
;Territory of the former Soviet Union;204661;e;288764;e;493425;e
;Territory of former Czechoslovakia;23115;e;35928;e;59043;e
;United Kingdom incl. British overseas territories;-;;-;;-;
2005-12-31;Total;3493799;e;3262011;e;6755810;e
;videlicet:;;;;;;
;Europe;2776098;e;2598735;e;5374833;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1292722;e;1193048;e;2485770;e
;EU-28 third countries (until 2020-01-31);2201077;e;2068963;e;4270040;e
;EU-27 (until 2013-06-30);1180113;e;1076731;e;2256844;e
;EU-27 third countries (until 2013-06-30);2313686;e;2185280;e;4498966;e
;EU-25 (until 2006-12-31);1132926;e;1011722;e;2144648;e
;EU-25 third countries (until 2006-12-31);2360873;e;2250289;e;4611162;e
;EU-15 (until 2004-04-30);907370;e;746558;e;1653928;e
;EU-15 third countries (until 2004-04-30);2586429;e;2515453;e;5101882;e
;EC-12 (until 1994-12-31);803167;e;646025;e;1449192;e
;EC-12 third countries (until 1994-12-31);2690632;e;2615986;e;5306618;e
;EC-10 (until 1985-12-31);686101;e;539707;e;1225808;e
;EC-10 third countries (until 1985-12-31);2807698;e;2722304;e;5530002;e
;EC-9 (until 1980-12-31);517391;e;398623;e;916014;e
;EC-9 third countries (until 1980-12-31);2976408;e;2863388;e;5839796;e
;EEC-6 (until 1972-12-31);446620;e;346004;e;792624;e
;EEC-6 third countries (until 1972-12-31);3047179;e;2916007;e;5963186;e
;Africa;164189;e;109626;e;273815;e
;North Africa;77538;e;44304;e;121842;e
;West Africa;43361;e;25596;e;68957;e
;Central Africa;18708;e;13270;e;31978;e
;East Africa;15601;e;18933;e;34534;e
;Southern Africa;8981;e;7523;e;16504;e
;America;95277;e;112890;e;208167;e
;North America;62607;e;48186;e;110793;e
;Central America and Caribbean;10683;e;17628;e;28311;e
;South America;21987;e;47076;e;69063;e
;Asia;413751;e;409477;e;823228;e
;South West Asia;155537;e;113225;e;268762;e
;South and South East Asia;128022;e;156169;e;284191;e
;East and Central Asia;130192;e;140083;e;270275;e
;Australia and Oceania;5236;e;4914;e;10150;e
;Countries of origin of foreign workers;2100124;e;1795403;e;3895527;e
;Territory of former Yugoslavia;499976;e;463024;e;963000;e
