observation_date,CPALTT01DEM659N
2020-08-01,-0.85416109999999990
2020-09-01,-0.85416109999999990
2020-10-01,-0.74890590000000001
2020-11-01,-0.19507200000000000
2020-12-01,-0.56710769999999988
2021-01-01,1.20240499999999995
2021-02-01,1.49850200000000000
2021-03-01,1.79461599999999999
2021-04-01,1.99203200000000002
2021-05-01,2.19123499999999982
2021-06-01,2.38805999999999985
2021-07-01,3.71113299999999979
2021-08-01,3.81143400000000021
2021-09-01,4.11233700000000013
2021-10-01,4.40440500000000057
2021-11-01,4.81444299999999981
2021-12-01,4.90981999999999985
2022-01-01,4.15841600000000078
2022-02-01,4.33070899999999970
2022-03-01,5.87659199999999959
2022-04-01,6.25000000000000000
2022-05-01,7.01754400000000000
2022-06-01,6.70553899999999992
2022-07-01,6.67311399999999999
2022-08-01,6.95652200000000054
2022-09-01,8.57418200000000041
2022-10-01,8.82070899999999902
2022-11-01,8.80382700000000007
2022-12-01,8.11843399999999882
2023-01-01,8.65019000000000027
2023-02-01,8.67924499999999988
2023-03-01,7.40055500000000155
2023-04-01,7.16911699999999996
2023-05-01,6.10200399999999998
2023-06-01,6.37522699999999976
2023-07-01,6.16500500000000073
2023-08-01,6.14272799999999997
2023-09-01,4.52528899999999989
2023-10-01,3.78854600000000019
2023-11-01,3.16622700000000012
2023-12-01,3.71024699999999985
2024-01-01,2.88713899999999990
2024-02-01,2.51736100000000018
2024-03-01,2.15331599999999979
2024-04-01,2.22984600000000022
2024-05-01,2.40343399999999985
2024-06-01,2.22602700000000020
2024-07-01,2.30572200000000027
2024-08-01,1.87233999999999989
2024-09-01,1.61290299999999998
2024-10-01,2.03735099999999969
2024-11-01,2.21653900000000004
