Tabelle: 62231-0001
Indices of agreed earnings, weekly working hours:;;;;;;;;;
Germany, months, economic activities;;;;;;;;;
Monthly index of agreed earnings and working hours;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;
;;;;Index coll. agreed hourly earnings without sp.pay.;;Index coll. agreed hourly earnings with sp.pay.;;Index coll. agreed monthly earnings without sp.pay;;Index coll. agreed monthly earnings with sp.pay.;;Index of collectively agreed weekly working hours;;Average collectively agreed weekly working hours;
;;;;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;h;h
;;;June;105.5;e;114.5;e;105.4;e;114.5;e;100.0;e;39.2;e
;;;July;105.6;e;103.3;e;105.6;e;103.2;e;100.0;e;39.2;e
;;;August;105.7;e;101.9;e;105.7;e;101.9;e;100.0;e;39.2;e
;;;September;105.8;e;103.6;e;105.8;e;103.6;e;100.0;e;39.2;e
;;;October;105.8;e;102.7;e;105.8;e;102.7;e;100.0;e;39.2;e
;;;November;105.9;e;150.4;e;105.9;e;150.3;e;100.0;e;39.2;e
;;;December;105.9;e;103.9;e;105.9;e;103.9;e;100.0;e;39.2;e
;;2024;January;106.2;e;103.3;e;106.2;e;103.3;e;100.0;e;39.2;e
;;;February;106.3;e;104.8;e;106.2;e;104.8;e;100.0;e;39.2;e
;;;March;109.6;e;111.8;e;109.6;e;111.8;e;100.0;e;39.2;e
;;;April;109.8;e;108.8;e;109.8;e;108.8;e;100.0;e;39.2;e
;;;May;110.0;e;106.5;e;110.0;e;106.5;e;100.0;e;39.2;e
;;;June;110.1;e;113.3;e;110.1;e;113.3;e;100.0;e;39.2;e
;;;July;110.4;e;108.0;e;110.3;e;108.0;e;100.0;e;39.2;e
;;;August;110.7;e;108.6;e;110.7;e;108.5;e;100.0;e;39.2;e
;;;September;111.0;e;108.0;e;111.0;e;108.0;e;100.0;e;39.2;e
;;;October;111.2;e;106.5;e;111.2;e;106.5;e;100.0;e;39.2;e
;;;November;112.1;e;156.1;e;112.0;e;156.1;e;100.0;e;39.2;e
;;;December;...;;...;;...;;...;;...;;...;
WZ08-G-03;Economic services;2010;January;79.1;e;74.1;e;79.2;e;74.1;e;100.1;e;37.9;e
;;;February;79.1;e;74.2;e;79.2;e;74.3;e;100.1;e;37.9;e
;;;March;79.1;e;74.0;e;79.2;e;74.1;e;100.1;e;37.9;e
;;;April;79.2;e;74.6;e;79.4;e;74.7;e;100.1;e;37.9;e
;;;May;79.3;e;74.6;e;79.5;e;74.7;e;100.1;e;37.9;e
;;;June;79.4;e;88.2;e;79.6;e;88.1;e;100.1;e;37.9;e
;;;July;79.9;e;74.7;e;79.9;e;74.8;e;100.1;e;37.9;e
;;;August;79.9;e;75.1;e;80.0;e;75.1;e;100.1;e;37.9;e
;;;September;79.9;e;75.1;e;80.1;e;75.2;e;100.1;e;37.9;e
;;;October;79.9;e;75.9;e;80.1;e;76.0;e;100.1;e;37.9;e
;;;November;79.9;e;118.0;e;80.1;e;118.5;e;100.1;e;37.9;e
;;;December;80.0;e;76.3;e;80.1;e;76.4;e;100.1;e;37.9;e
;;2011;January;80.2;e;76.0;e;80.4;e;76.1;e;100.1;e;37.9;e
;;;February;80.2;e;75.1;e;80.4;e;75.1;e;100.1;e;37.9;e
;;;March;80.4;e;75.3;e;80.5;e;75.4;e;100.1;e;37.9;e
;;;April;80.7;e;75.7;e;80.8;e;75.7;e;100.1;e;37.9;e
;;;May;81.0;e;76.1;e;81.1;e;76.2;e;100.1;e;37.9;e
;;;June;81.1;e;89.8;e;81.3;e;89.7;e;100.1;e;37.9;e
;;;July;81.4;e;76.4;e;81.5;e;76.4;e;100.1;e;37.9;e
;;;August;81.5;e;76.6;e;81.6;e;76.7;e;100.1;e;37.9;e
;;;September;81.6;e;76.5;e;81.8;e;76.5;e;100.1;e;37.9;e
;;;October;81.6;e;77.1;e;81.8;e;77.2;e;100.1;e;37.9;e
;;;November;81.7;e;120.7;e;81.9;e;121.1;e;100.1;e;37.9;e
;;;December;81.7;e;78.0;e;81.9;e;78.0;e;100.1;e;37.9;e
;;2012;January;82.0;e;77.3;e;82.1;e;77.3;e;100.1;e;37.9;e
;;;February;82.0;e;76.7;e;82.1;e;76.7;e;100.1;e;37.9;e
;;;March;82.4;e;77.1;e;82.6;e;77.2;e;100.1;e;37.9;e
;;;April;82.6;e;77.5;e;82.8;e;77.5;e;100.1;e;37.9;e
;;;May;82.9;e;77.9;e;82.9;e;77.9;e;100.1;e;37.9;e
;;;June;83.2;e;92.0;e;83.2;e;91.9;e;100.1;e;37.9;e
;;;July;83.3;e;78.4;e;83.6;e;78.6;e;100.1;e;37.9;e
;;;August;83.4;e;78.1;e;83.6;e;78.1;e;100.1;e;37.9;e
;;;September;83.4;e;78.2;e;83.6;e;78.1;e;100.1;e;37.9;e
;;;October;83.6;e;79.5;e;83.7;e;79.6;e;100.1;e;37.9;e
;;;November;83.7;e;123.3;e;83.8;e;123.7;e;100.1;e;37.9;e
;;;December;83.8;e;80.7;e;83.8;e;80.8;e;100.1;e;37.9;e
;;2013;January;84.2;e;79.3;e;84.4;e;79.4;e;100.1;e;37.9;e
;;;February;84.2;e;78.9;e;84.4;e;78.9;e;100.1;e;37.9;e
;;;March;84.2;e;78.9;e;84.4;e;78.9;e;100.1;e;37.9;e
;;;April;84.3;e;79.1;e;84.4;e;79.1;e;100.1;e;37.9;e
;;;May;84.4;e;79.5;e;84.5;e;79.6;e;100.1;e;37.9;e
;;;June;84.5;e;93.5;e;84.6;e;93.3;e;100.1;e;37.9;e
;;;July;84.9;e;79.7;e;85.0;e;79.7;e;100.1;e;37.9;e
;;;August;85.5;e;80.1;e;85.6;e;80.2;e;100.1;e;37.9;e
;;;September;85.5;e;80.0;e;85.6;e;80.1;e;100.1;e;37.9;e
;;;October;85.5;e;80.7;e;85.7;e;80.6;e;100.1;e;37.9;e
;;;November;85.7;e;126.1;e;85.8;e;126.6;e;100.1;e;37.9;e
;;;December;85.7;e;82.4;e;85.8;e;82.3;e;100.1;e;37.9;e
;;2014;January;86.2;e;80.7;e;86.3;e;80.8;e;100.1;e;37.9;e
;;;February;86.3;e;80.7;e;86.4;e;80.8;e;100.1;e;37.9;e
;;;March;86.3;e;80.7;e;86.4;e;80.8;e;100.1;e;37.9;e
;;;April;86.5;e;81.4;e;86.6;e;81.4;e;100.1;e;37.9;e
;;;May;86.8;e;81.6;e;87.0;e;81.5;e;100.1;e;37.9;e
;;;June;86.9;e;95.8;e;87.1;e;95.6;e;100.1;e;37.9;e
;;;July;87.3;e;82.8;e;87.4;e;82.9;e;100.1;e;37.9;e
;;;August;87.4;e;82.2;e;87.6;e;82.2;e;100.1;e;37.9;e
;;;September;87.4;e;81.9;e;87.6;e;82.0;e;100.1;e;37.9;e
;;;October;87.7;e;84.0;e;87.9;e;84.0;e;100.1;e;37.9;e
;;;November;87.8;e;129.1;e;87.9;e;129.5;e;100.1;e;37.9;e
;;;December;87.8;e;84.7;e;87.9;e;84.7;e;100.1;e;37.9;e
;;2015;January;87.9;e;82.5;e;88.0;e;82.6;e;100.1;e;38.0;e
;;;February;88.1;e;82.9;e;88.2;e;83.0;e;100.1;e;38.0;e
;;;March;88.4;e;83.0;e;88.6;e;83.1;e;100.1;e;38.0;e
;;;April;88.9;e;83.5;e;89.0;e;83.6;e;100.1;e;38.0;e
;;;May;88.9;e;83.4;e;89.1;e;83.5;e;100.1;e;38.0;e
;;;June;89.0;e;99.3;e;89.2;e;99.4;e;100.1;e;38.0;e
;;;July;89.5;e;84.5;e;89.6;e;84.6;e;100.1;e;38.0;e
;;;August;89.6;e;84.0;e;89.7;e;84.1;e;100.1;e;38.0;e
;;;September;89.8;e;84.4;e;89.9;e;84.5;e;100.1;e;38.0;e
;;;October;89.8;e;84.8;e;90.0;e;84.9;e;100.1;e;38.0;e
;;;November;89.8;e;132.6;e;90.0;e;132.7;e;100.1;e;38.0;e
;;;December;89.8;e;84.6;e;90.0;e;84.7;e;100.1;e;38.0;e
;;2016;January;90.1;e;85.3;e;90.3;e;85.4;e;100.1;e;38.0;e
;;;February;90.2;e;84.5;e;90.4;e;84.6;e;100.1;e;38.0;e
;;;March;90.2;e;84.6;e;90.4;e;84.7;e;100.1;e;38.0;e
;;;April;90.4;e;84.9;e;90.5;e;85.0;e;100.1;e;38.0;e
;;;May;90.6;e;85.1;e;90.8;e;85.2;e;100.1;e;38.0;e
;;;June;90.9;e;101.5;e;91.1;e;101.6;e;100.1;e;38.0;e
;;;July;91.1;e;85.7;e;91.2;e;85.7;e;100.1;e;38.0;e
;;;August;91.4;e;86.9;e;91.5;e;87.0;e;100.1;e;38.0;e
;;;September;91.5;e;86.2;e;91.7;e;86.3;e;100.1;e;38.0;e
;;;October;91.8;e;86.4;e;92.0;e;86.4;e;100.1;e;38.0;e
;;;November;91.8;e;135.2;e;92.0;e;135.3;e;100.1;e;38.0;e
;;;December;91.8;e;86.8;e;92.0;e;86.9;e;100.1;e;38.0;e
;;2017;January;92.1;e;86.6;e;92.2;e;86.7;e;100.1;e;38.0;e
;;;February;92.4;e;86.6;e;92.6;e;86.7;e;100.1;e;38.0;e
;;;March;92.6;e;86.8;e;92.8;e;86.9;e;100.1;e;38.0;e
;;;April;93.0;e;87.7;e;93.1;e;87.7;e;100.1;e;38.0;e
;;;May;93.0;e;87.3;e;93.1;e;87.3;e;100.1;e;38.0;e
;;;June;93.0;e;103.6;e;93.2;e;103.7;e;100.1;e;38.0;e
;;;July;93.2;e;87.6;e;93.3;e;87.7;e;100.1;e;38.0;e
;;;August;93.4;e;87.5;e;93.5;e;87.6;e;100.1;e;38.0;e
;;;September;93.5;e;88.0;e;93.7;e;88.0;e;100.1;e;38.0;e
;;;October;93.7;e;87.9;e;93.8;e;88.0;e;100.1;e;38.0;e
;;;November;93.8;e;137.5;e;93.9;e;137.6;e;100.1;e;38.0;e
;;;December;93.8;e;88.2;e;93.9;e;88.3;e;100.1;e;38.0;e
;;2018;January;94.2;e;88.8;e;94.4;e;88.8;e;100.1;e;38.0;e
;;;February;94.2;e;88.3;e;94.4;e;88.3;e;100.1;e;38.0;e
;;;March;94.3;e;88.6;e;94.5;e;88.7;e;100.1;e;38.0;e
;;;April;94.8;e;89.2;e;95.0;e;89.3;e;100.1;e;38.0;e
;;;May;95.1;e;89.2;e;95.3;e;89.2;e;100.1;e;38.0;e
;;;June;95.2;e;106.0;e;95.4;e;106.1;e;100.1;e;38.0;e
;;;July;95.4;e;89.7;e;95.5;e;89.7;e;100.1;e;38.0;e
;;;August;95.6;e;90.4;e;95.7;e;90.5;e;100.1;e;38.0;e
;;;September;95.9;e;91.5;e;96.1;e;91.6;e;100.1;e;38.0;e
;;;October;96.2;e;90.4;e;96.3;e;90.5;e;100.1;e;38.0;e
;;;November;96.3;e;140.9;e;96.4;e;141.0;e;100.1;e;38.0;e
;;;December;96.4;e;90.7;e;96.5;e;90.8;e;100.1;e;38.0;e
;;2019;January;96.7;e;90.9;e;96.8;e;90.9;e;100.0;e;38.0;e
;;;February;96.8;e;91.3;e;96.9;e;91.3;e;100.0;e;38.0;e
;;;March;96.8;e;90.7;e;96.9;e;90.7;e;100.0;e;37.9;e
;;;April;97.5;e;91.5;e;97.6;e;91.5;e;100.0;e;37.9;e
;;;May;97.7;e;91.6;e;97.8;e;91.6;e;100.0;e;37.9;e
;;;June;97.8;e;109.4;e;97.9;e;109.5;e;100.0;e;37.9;e
;;;July;98.0;e;93.6;e;98.0;e;93.6;e;100.0;e;37.9;e
;;;August;98.2;e;92.5;e;98.3;e;92.5;e;100.0;e;37.9;e
;;;September;98.6;e;92.7;e;98.7;e;92.7;e;100.0;e;37.9;e
;;;October;98.7;e;92.5;e;98.7;e;92.5;e;100.0;e;37.9;e
;;;November;98.7;e;144.4;e;98.7;e;144.4;e;100.0;e;37.9;e
;;;December;98.8;e;93.0;e;98.8;e;93.0;e;100.0;e;37.9;e
;;2020;January;99.2;e;93.1;e;99.2;e;93.1;e;100.0;e;38.2;e
;;;February;99.3;e;93.1;e;99.3;e;93.1;e;100.0;e;38.2;e
;;;March;99.4;e;93.2;e;99.4;e;93.2;e;100.0;e;38.2;e
;;;April;99.8;e;93.5;e;99.8;e;93.5;e;100.0;e;38.1;e
;;;May;99.9;e;93.8;e;99.9;e;93.8;e;100.0;e;38.1;e
;;;June;100.0;e;112.9;e;100.0;e;112.9;e;100.0;e;38.1;e
;;;July;100.3;e;96.2;e;100.3;e;96.2;e;100.0;e;38.1;e
;;;August;100.3;e;94.0;e;100.3;e;94.0;e;100.0;e;38.1;e
;;;September;100.3;e;93.9;e;100.3;e;93.9;e;100.0;e;38.1;e
;;;October;100.4;e;94.2;e;100.4;e;94.2;e;100.0;e;38.1;e
;;;November;100.5;e;143.8;e;100.5;e;143.8;e;100.0;e;38.1;e
;;;December;100.5;e;98.2;e;100.5;e;98.2;e;100.0;e;38.1;e
;;2021;January;100.9;e;94.6;e;100.9;e;94.6;e;100.0;e;38.1;e
;;;February;100.9;e;94.5;e;100.9;e;94.5;e;100.0;e;38.1;e
;;;March;101.0;e;94.5;e;101.0;e;94.5;e;100.0;e;38.1;e
;;;April;101.4;e;95.0;e;101.4;e;95.0;e;100.0;e;38.1;e
;;;May;101.4;e;95.1;e;101.4;e;95.1;e;100.0;e;38.1;e
;;;June;101.5;e;115.0;e;101.5;e;115.0;e;100.0;e;38.1;e
;;;July;101.7;e;97.2;e;101.7;e;97.2;e;100.0;e;38.1;e
;;;August;101.7;e;95.6;e;101.7;e;95.6;e;100.0;e;38.1;e
;;;September;101.8;e;95.2;e;101.7;e;95.2;e;100.0;e;38.1;e
;;;October;101.8;e;95.8;e;101.8;e;95.8;e;100.0;e;38.1;e
;;;November;101.9;e;145.2;e;101.8;e;145.2;e;100.0;e;38.1;e
;;;December;102.3;e;99.9;e;102.3;e;99.9;e;100.0;e;38.1;e
;;2022;January;102.7;e;96.5;e;102.7;e;96.5;e;100.0;e;38.1;e
;;;February;103.0;e;97.5;e;103.0;e;97.5;e;100.0;e;38.1;e
;;;March;102.9;e;97.3;e;102.9;e;97.3;e;100.0;e;38.1;e
;;;April;103.5;e;97.0;e;103.5;e;97.0;e;100.0;e;38.1;e
;;;May;103.8;e;99.3;e;103.8;e;99.3;e;100.0;e;38.1;e
;;;June;104.0;e;117.1;e;104.0;e;117.1;e;100.0;e;38.1;e
;;;July;104.1;e;99.8;e;104.1;e;99.8;e;100.0;e;38.1;e
;;;August;104.4;e;97.8;e;104.3;e;97.8;e;100.0;e;38.1;e
;;;September;104.6;e;97.9;e;104.6;e;97.9;e;100.0;e;38.1;e
;;;October;105.7;e;100.0;e;105.7;e;99.9;e;100.0;e;38.1;e
;;;November;105.7;e;150.2;e;105.7;e;150.2;e;100.0;e;38.1;e
;;;December;105.9;e;101.9;e;105.9;e;101.9;e;100.0;e;38.1;e
;;2023;January;106.3;e;101.6;e;106.2;e;101.6;e;100.0;e;38.1;e
;;;February;106.4;e;101.6;e;106.3;e;101.6;e;100.0;e;38.1;e
;;;March;106.4;e;101.0;e;106.4;e;101.0;e;100.0;e;38.1;e
;;;April;106.9;e;101.0;e;106.9;e;101.0;e;100.0;e;38.1;e
;;;May;107.0;e;101.5;e;106.9;e;101.5;e;100.0;e;38.1;e
;;;June;107.4;e;124.2;e;107.4;e;124.1;e;100.0;e;38.1;e
;;;July;107.5;e;104.7;e;107.5;e;104.7;e;100.0;e;38.1;e
;;;August;107.7;e;101.8;e;107.7;e;101.8;e;100.0;e;38.1;e
;;;September;107.9;e;102.2;e;107.9;e;102.2;e;100.0;e;38.1;e
;;;October;108.0;e;103.6;e;108.0;e;103.5;e;100.0;e;38.1;e
;;;November;108.1;e;154.1;e;108.1;e;154.1;e;100.0;e;38.1;e
;;;December;108.3;e;105.2;e;108.2;e;105.2;e;100.0;e;38.1;e
;;2024;January;109.0;e;104.0;e;108.9;e;103.9;e;100.0;e;38.1;e
;;;February;109.0;e;105.6;e;109.0;e;105.6;e;100.0;e;38.1;e
;;;March;110.6;e;105.9;e;110.5;e;105.9;e;100.0;e;38.1;e
;;;April;110.9;e;104.7;e;110.9;e;104.6;e;100.0;e;38.1;e
;;;May;111.3;e;105.4;e;111.3;e;105.4;e;100.0;e;38.1;e
;;;June;111.4;e;125.6;e;111.4;e;125.5;e;100.0;e;38.1;e
;;;July;112.0;e;110.6;e;111.9;e;110.5;e;100.0;e;38.1;e
;;;August;113.2;e;114.1;e;113.1;e;114.0;e;99.9;e;38.1;e
;;;September;114.1;e;112.7;e;114.0;e;112.7;e;99.9;e;38.1;e
;;;October;114.7;e;107.7;e;114.7;e;107.6;e;99.9;e;38.1;e
;;;November;114.8;e;163.1;e;114.7;e;163.0;e;99.9;e;38.1;e
;;;December;...;;...;;...;;...;;...;;...;
WZ08-G;Wholesale, retail trade, repair of motor vehicles;2010;January;78.5;e;73.2;e;78.6;e;73.2;e;100.0;e;37.7;e
;;;February;78.5;e;73.3;e;78.6;e;73.4;e;100.0;e;37.7;e
;;;March;78.5;e;73.4;e;78.6;e;73.4;e;100.0;e;37.7;e
;;;April;78.5;e;74.2;e;78.6;e;74.3;e;100.0;e;37.7;e
;;;May;78.5;e;73.5;e;78.6;e;73.5;e;100.0;e;37.7;e
;;;June;78.9;e;100.5;e;79.0;e;100.4;e;100.0;e;37.7;e
;;;July;79.0;e;73.6;e;79.1;e;73.6;e;100.0;e;37.7;e
;;;August;79.1;e;73.6;e;79.2;e;73.7;e;100.0;e;37.7;e
;;;September;79.3;e;75.5;e;79.5;e;75.5;e;100.0;e;37.7;e
;;;October;79.3;e;74.1;e;79.5;e;74.1;e;100.0;e;37.7;e
;;;November;79.4;e;110.7;e;79.5;e;110.9;e;100.0;e;37.7;e
;;;December;79.4;e;74.0;e;79.6;e;74.1;e;100.0;e;37.7;e
;;2011;January;79.5;e;74.2;e;79.7;e;74.2;e;100.0;e;37.7;e
;;;February;79.6;e;74.2;e;79.8;e;74.2;e;100.0;e;37.7;e
;;;March;79.6;e;74.2;e;79.8;e;74.3;e;100.0;e;37.7;e
;;;April;79.8;e;74.3;e;79.8;e;74.4;e;100.0;e;37.7;e
;;;May;79.9;e;74.4;e;80.0;e;74.5;e;100.0;e;37.7;e
;;;June;80.7;e;102.0;e;80.7;e;101.9;e;100.0;e;37.7;e
;;;July;81.5;e;76.0;e;81.6;e;76.0;e;100.0;e;37.7;e
;;;August;81.6;e;76.0;e;81.7;e;76.0;e;100.0;e;37.7;e
;;;September;81.6;e;76.4;e;81.7;e;76.5;e;100.0;e;37.7;e
;;;October;81.6;e;76.0;e;81.7;e;76.0;e;100.0;e;37.7;e
;;;November;81.6;e;113.5;e;81.7;e;113.7;e;100.0;e;37.7;e
;;;December;81.6;e;76.0;e;81.8;e;76.1;e;100.0;e;37.7;e
;;2012;January;81.7;e;76.2;e;81.9;e;76.2;e;100.0;e;37.7;e
;;;February;81.7;e;76.2;e;81.9;e;76.2;e;100.0;e;37.7;e
;;;March;81.8;e;76.2;e;82.0;e;76.3;e;100.0;e;37.7;e
;;;April;81.9;e;76.4;e;82.0;e;76.5;e;100.0;e;37.7;e
;;;May;82.3;e;77.2;e;82.4;e;77.3;e;100.0;e;37.7;e
;;;June;83.2;e;105.2;e;83.3;e;105.0;e;100.0;e;37.7;e
;;;July;83.6;e;77.8;e;83.7;e;77.9;e;100.0;e;37.7;e
;;;August;83.6;e;77.9;e;83.8;e;78.0;e;100.0;e;37.7;e
;;;September;83.7;e;78.5;e;83.9;e;78.5;e;100.0;e;37.7;e
;;;October;83.7;e;78.0;e;83.9;e;78.1;e;100.0;e;37.7;e
;;;November;83.7;e;116.4;e;83.9;e;116.5;e;100.0;e;37.7;e
;;;December;83.7;e;78.0;e;83.9;e;78.1;e;100.0;e;37.7;e
;;2013;January;83.7;e;78.0;e;83.9;e;78.1;e;100.0;e;37.7;e
;;;February;83.8;e;78.0;e;83.9;e;78.1;e;100.0;e;37.7;e
;;;March;83.8;e;78.1;e;83.9;e;78.2;e;100.0;e;37.7;e
;;;April;83.9;e;78.1;e;83.9;e;78.2;e;100.0;e;37.7;e
;;;May;83.9;e;78.1;e;83.9;e;78.2;e;100.0;e;37.7;e
;;;June;83.9;e;106.0;e;83.9;e;105.8;e;100.0;e;37.7;e
;;;July;85.0;e;79.5;e;85.2;e;79.6;e;100.0;e;37.7;e
;;;August;85.3;e;79.5;e;85.4;e;79.6;e;100.0;e;37.7;e
;;;September;85.3;e;79.9;e;85.4;e;79.9;e;100.0;e;37.7;e
;;;October;85.3;e;79.4;e;85.4;e;79.5;e;100.0;e;37.7;e
;;;November;85.8;e;119.0;e;86.0;e;119.0;e;100.0;e;37.8;e
;;;December;85.8;e;82.5;e;86.0;e;82.5;e;100.0;e;37.7;e
;;2014;January;86.1;e;80.8;e;86.1;e;80.9;e;100.0;e;37.7;e
;;;February;86.2;e;80.3;e;86.3;e;80.3;e;100.0;e;37.7;e
;;;March;86.3;e;80.5;e;86.4;e;80.5;e;100.0;e;37.7;e
;;;April;86.5;e;81.3;e;86.7;e;81.3;e;100.0;e;37.7;e
;;;May;87.6;e;82.2;e;87.7;e;82.3;e;100.0;e;37.7;e
;;;June;87.7;e;110.4;e;87.8;e;110.3;e;100.0;e;37.7;e
;;;July;87.7;e;81.8;e;87.9;e;81.8;e;100.0;e;37.7;e
;;;August;87.8;e;81.8;e;88.0;e;81.8;e;100.0;e;37.7;e
;;;September;87.8;e;82.3;e;88.0;e;82.4;e;100.0;e;37.7;e
;;;October;88.1;e;82.0;e;88.1;e;82.0;e;100.0;e;37.7;e
;;;November;88.1;e;121.9;e;88.1;e;122.1;e;100.0;e;37.7;e
;;;December;88.1;e;82.3;e;88.1;e;82.4;e;100.0;e;37.7;e
;;2015;January;88.1;e;81.9;e;88.1;e;81.9;e;100.0;e;37.8;e
;;;February;88.1;e;81.9;e;88.1;e;81.9;e;100.0;e;37.8;e
;;;March;88.1;e;82.2;e;88.1;e;82.2;e;100.0;e;37.8;e
;;;April;88.4;e;82.2;e;88.5;e;82.2;e;100.0;e;37.8;e
;;;May;88.5;e;82.3;e;88.6;e;82.3;e;100.0;e;37.8;e
;;;June;88.6;e;110.7;e;88.7;e;110.7;e;100.0;e;37.8;e
;;;July;89.3;e;83.3;e;89.4;e;83.3;e;100.0;e;37.8;e
;;;August;89.8;e;83.7;e;89.8;e;83.7;e;100.0;e;37.8;e
;;;September;90.1;e;84.1;e;90.2;e;84.1;e;100.0;e;37.8;e
;;;October;90.2;e;83.8;e;90.3;e;83.8;e;100.0;e;37.8;e
;;;November;90.2;e;128.1;e;90.3;e;128.1;e;100.0;e;37.8;e
;;;December;90.2;e;84.4;e;90.3;e;84.4;e;100.0;e;37.8;e
;;2016;January;90.3;e;84.0;e;90.4;e;84.0;e;100.0;e;37.8;e
;;;February;90.3;e;84.0;e;90.4;e;84.0;e;100.0;e;37.8;e
;;;March;90.4;e;84.1;e;90.5;e;84.1;e;100.0;e;37.8;e
;;;April;90.7;e;84.7;e;90.8;e;84.7;e;100.0;e;37.8;e
;;;May;91.4;e;85.1;e;91.5;e;85.1;e;100.0;e;37.8;e
;;;June;91.5;e;113.8;e;91.6;e;113.8;e;100.0;e;37.8;e
;;;July;91.8;e;85.7;e;91.9;e;85.7;e;100.0;e;37.8;e
;;;August;91.9;e;85.4;e;92.0;e;85.4;e;100.0;e;37.8;e
;;;September;92.1;e;85.7;e;92.1;e;85.7;e;100.0;e;37.8;e
;;;October;92.2;e;85.7;e;92.2;e;85.7;e;100.0;e;37.8;e
;;;November;92.2;e;131.1;e;92.3;e;131.1;e;100.0;e;37.8;e
;;;December;92.2;e;86.3;e;92.3;e;86.3;e;100.0;e;37.8;e
;;2017;January;92.2;e;85.8;e;92.3;e;85.8;e;100.0;e;37.8;e
;;;February;92.2;e;85.8;e;92.3;e;85.8;e;100.0;e;37.8;e
;;;March;92.2;e;85.8;e;92.3;e;85.8;e;100.0;e;37.8;e
;;;April;92.5;e;86.0;e;92.6;e;86.0;e;100.0;e;37.8;e
;;;May;92.5;e;86.0;e;92.6;e;86.0;e;100.0;e;37.8;e
;;;June;92.5;e;115.3;e;92.6;e;115.3;e;100.0;e;37.8;e
;;;July;93.0;e;86.6;e;93.0;e;86.6;e;100.0;e;37.8;e
;;;August;93.5;e;87.2;e;93.6;e;87.2;e;100.0;e;37.8;e
;;;September;94.1;e;88.5;e;94.1;e;88.5;e;100.0;e;37.8;e
;;;October;94.4;e;88.3;e;94.5;e;88.3;e;100.0;e;37.8;e
;;;November;94.4;e;134.0;e;94.5;e;134.0;e;100.0;e;37.8;e
;;;December;94.4;e;88.4;e;94.5;e;88.4;e;100.0;e;37.8;e
;;2018;January;94.4;e;87.9;e;94.5;e;87.9;e;100.0;e;37.8;e
;;;February;94.4;e;87.8;e;94.5;e;87.8;e;100.0;e;37.8;e
;;;March;94.5;e;88.5;e;94.6;e;88.5;e;100.0;e;37.8;e
;;;April;95.2;e;88.5;e;95.3;e;88.5;e;100.0;e;37.8;e
;;;May;96.0;e;89.2;e;96.1;e;89.2;e;100.0;e;37.8;e
;;;June;96.1;e;119.4;e;96.2;e;119.4;e;100.0;e;37.8;e
;;;July;96.1;e;89.3;e;96.2;e;89.3;e;100.0;e;37.8;e
;;;August;96.2;e;89.5;e;96.3;e;89.5;e;100.0;e;37.8;e
;;;September;96.3;e;89.6;e;96.4;e;89.6;e;100.0;e;37.8;e
;;;October;96.5;e;89.8;e;96.6;e;89.8;e;100.0;e;37.8;e
;;;November;96.7;e;137.5;e;96.8;e;137.5;e;100.0;e;37.8;e
;;;December;96.7;e;90.6;e;96.8;e;90.6;e;100.0;e;37.8;e
;;2019;January;96.8;e;90.0;e;96.9;e;89.9;e;100.0;e;37.8;e
;;;February;96.8;e;90.0;e;96.9;e;89.9;e;100.0;e;37.8;e
;;;March;96.8;e;90.0;e;96.9;e;89.9;e;100.0;e;37.8;e
;;;April;96.8;e;90.1;e;96.9;e;90.0;e;100.0;e;37.8;e
;;;May;97.0;e;90.1;e;97.0;e;90.0;e;100.0;e;37.8;e
;;;June;97.0;e;121.1;e;97.0;e;121.0;e;100.0;e;37.8;e
;;;July;97.0;e;93.2;e;97.0;e;93.1;e;100.0;e;37.8;e
;;;August;98.1;e;92.7;e;98.1;e;92.6;e;100.0;e;37.8;e
;;;September;98.9;e;93.3;e;98.9;e;93.3;e;100.0;e;37.8;e
;;;October;98.9;e;92.0;e;98.9;e;92.0;e;100.0;e;37.8;e
;;;November;98.9;e;140.3;e;98.9;e;140.3;e;100.0;e;37.8;e
;;;December;98.9;e;92.5;e;98.9;e;92.5;e;100.0;e;37.8;e
;;2020;January;99.0;e;92.2;e;99.0;e;92.2;e;100.0;e;37.7;e
;;;February;99.1;e;92.1;e;99.1;e;92.1;e;100.0;e;37.7;e
;;;March;99.1;e;92.0;e;99.1;e;92.0;e;100.0;e;37.7;e
;;;April;99.3;e;92.1;e;99.3;e;92.1;e;100.0;e;37.7;e
;;;May;99.9;e;92.6;e;99.9;e;92.6;e;100.0;e;37.7;e
;;;June;100.2;e;126.8;e;100.2;e;126.8;e;100.0;e;37.7;e
;;;July;100.5;e;96.7;e;100.5;e;96.7;e;100.0;e;37.7;e
;;;August;100.5;e;93.3;e;100.5;e;93.3;e;100.0;e;37.7;e
;;;September;100.6;e;93.3;e;100.6;e;93.3;e;100.0;e;37.7;e
;;;October;100.6;e;93.3;e;100.6;e;93.3;e;100.0;e;37.7;e
;;;November;100.6;e;137.8;e;100.6;e;137.8;e;100.0;e;37.7;e
;;;December;100.6;e;97.9;e;100.6;e;97.9;e;100.0;e;37.7;e
;;2021;January;100.7;e;93.9;e;100.7;e;93.9;e;100.0;e;37.7;e
