Tabelle: 62231-0001
Indices of agreed earnings, weekly working hours:;;;;;;;;;
Germany, months, economic activities;;;;;;;;;
Monthly index of agreed earnings and working hours;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;
;;;;Index coll. agreed hourly earnings without sp.pay.;;Index coll. agreed hourly earnings with sp.pay.;;Index coll. agreed monthly earnings without sp.pay;;Index coll. agreed monthly earnings with sp.pay.;;Index of collectively agreed weekly working hours;;Average collectively agreed weekly working hours;
;;;;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;h;h
;;;October;101.6;e;96.6;e;101.6;e;96.6;e;100.0;e;38.6;e
;;;November;101.6;e;138.9;e;101.6;e;138.9;e;100.0;e;38.6;e
;;;December;101.7;e;102.1;e;101.7;e;102.1;e;100.0;e;38.6;e
;;2022;January;101.9;e;96.7;e;101.9;e;96.7;e;100.0;e;38.6;e
;;;February;102.0;e;98.6;e;102.0;e;98.5;e;100.0;e;38.6;e
;;;March;102.0;e;101.0;e;102.0;e;101.0;e;100.0;e;38.6;e
;;;April;102.7;e;96.7;e;102.6;e;96.7;e;100.0;e;38.6;e
;;;May;102.7;e;97.8;e;102.7;e;97.8;e;100.0;e;38.6;e
;;;June;102.8;e;112.2;e;102.8;e;112.2;e;100.0;e;38.6;e
;;;July;102.9;e;102.0;e;102.9;e;102.0;e;100.0;e;38.6;e
;;;August;103.0;e;97.1;e;103.0;e;97.1;e;100.0;e;38.6;e
;;;September;103.1;e;97.0;e;103.1;e;97.0;e;100.0;e;38.6;e
;;;October;103.4;e;97.4;e;103.4;e;97.4;e;100.0;e;38.6;e
;;;November;103.4;e;141.7;e;103.4;e;141.7;e;100.0;e;38.6;e
;;;December;104.1;e;104.4;e;104.1;e;104.4;e;100.0;e;38.6;e
;;2023;January;104.5;e;102.2;e;104.4;e;102.2;e;100.0;e;38.6;e
;;;February;104.5;e;103.2;e;104.5;e;103.2;e;100.0;e;38.6;e
